subject,c1,c2,c3,c4,c5,c6
s001,yo-f4,yo-f2,yo-f1,yf-f1,yf-f2,yf-f4
s002,yf-f2,yf-f1,yf-f4,yo-f2,yo-f4,yo-f1
s003,yo-f1,yo-f2,yo-f4,yf-f4,yf-f1,yf-f2
s004,yf-f4,yf-f1,yf-f2,yo-f4,yo-f2,yo-f1
s005,yo-f4,yo-f1,yo-f2,yf-f1,yf-f2,yf-f4
s006,yf-f1,yf-f4,yf-f2,yo-f1,yo-f2,yo-f4
s007,yo-f2,yo-f4,yo-f1,yf-f4,yf-f1,yf-f2
s008,yf-f2,yf-f4,yf-f1,yo-f1,yo-f2,yo-f4
s009,yo-f2,yo-f1,yo-f4,yf-f4,yf-f2,yf-f1
s010,yf-f1,yf-f4,yf-f2,yo-f2,yo-f4,yo-f1
s011,yo-f2,yo-f1,yo-f4,yf-f2,yf-f4,yf-f1
s012,yf-f2,yf-f1,yf-f4,yo-f4,yo-f1,yo-f2
s013,yo-f4,yo-f2,yo-f1,yf-f1,yf-f4,yf-f2
s014,yf-f4,yf-f2,yf-f1,yo-f1,yo-f2,yo-f4
s015,yo-f1,yo-f4,yo-f2,yf-f4,yf-f1,yf-f2
s016,yf-f1,yf-f2,yf-f4,yo-f4,yo-f2,yo-f1
s017,yo-f2,yo-f4,yo-f1,yf-f1,yf-f4,yf-f2
s018,yf-f4,yf-f1,yf-f2,yo-f2,yo-f1,yo-f4
s019,yo-f4,yo-f2,yo-f1,yf-f2,yf-f4,yf-f1
s020,yf-f2,yf-f4,yf-f1,yo-f2,yo-f1,yo-f4
s021,yo-f1,yo-f4,yo-f2,yf-f2,yf-f1,yf-f4
s022,yf-f1,yf-f4,yf-f2,yo-f4,yo-f1,yo-f2
s023,yo-f4,yo-f1,yo-f2,yf-f4,yf-f2,yf-f1
s024,yf-f2,yf-f1,yf-f4,yo-f4,yo-f2,yo-f1
s025,yo-f2,yo-f4,yo-f1,yf-f4,yf-f2,yf-f1
s026,yf-f2,yf-f4,yf-f1,yo-f4,yo-f2,yo-f1
s027,yo-f1,yo-f4,yo-f2,yf-f2,yf-f4,yf-f1
s028,yf-f4,yf-f2,yf-f1,yo-f2,yo-f1,yo-f4
s029,yo-f1,yo-f2,yo-f4,yf-f1,yf-f4,yf-f2
s030,yf-f4,yf-f1,yf-f2,yo-f2,yo-f4,yo-f1
s031,yo-f2,yo-f1,yo-f4,yf-f4,yf-f1,yf-f2
s032,yf-f1,yf-f2,yf-f4,yo-f2,yo-f4,yo-f1
s033,yo-f2,yo-f4,yo-f1,yf-f1,yf-f2,yf-f4
s034,yf-f2,yf-f1,yf-f4,yo-f1,yo-f2,yo-f4
s035,yo-f4,yo-f2,yo-f1,yf-f4,yf-f1,yf-f2
s036,yf-f4,yf-f1,yf-f2,yo-f1,yo-f4,yo-f2
s037,yo-f1,yo-f4,yo-f2,yf-f4,yf-f2,yf-f1
s038,yf-f1,yf-f2,yf-f4,yo-f1,yo-f4,yo-f2
s039,yo-f4,yo-f1,yo-f2,yf-f1,yf-f4,yf-f2
s040,yf-f4,yf-f2,yf-f1,yo-f4,yo-f1,yo-f2
s041,yo-f1,yo-f2,yo-f4,yf-f2,yf-f1,yf-f4
s042,yf-f4,yf-f1,yf-f2,yo-f1,yo-f2,yo-f4
s043,yo-f4,yo-f1,yo-f2,yf-f2,yf-f4,yf-f1
s044,yf-f1,yf-f2,yf-f4,yo-f2,yo-f1,yo-f4
s045,yo-f1,yo-f4,yo-f2,yf-f1,yf-f2,yf-f4
s046,yf-f1,yf-f2,yf-f4,yo-f4,yo-f1,yo-f2
s047,yo-f1,yo-f2,yo-f4,yf-f2,yf-f4,yf-f1
